"TABLA_PUENTE_ID","SISTEMA_ORIGEN","TIPO_DOCUMENTO","TIPO_MOVIMIENTO","UNIDAD_NEGOCIO_ORIGEN","NOMBRE_FISCAL_ORIGEN","EMPRESA_ORIGEN","RFC_ORIGEN","UNIDAD_NEGOCIO_DESTINO","NOMBRE_FISCAL_DESTINO","EMPRESA_DESTINO","RFC_DESTINO","SUCURSAL_VENTA","NUMERO_DOCUMENTO","FECHA_MOVIMIENTO","REFERENCIA_APLICACION","ADICIONAL1","ADICIONAL2","ADICIONAL3","ADICIONAL4","ADICIONAL5","ADICIONAL6","ADICIONAL7","ADICIONAL8","ADICIONAL9","ADICIONAL10","ESTATUS","DETALLE_ERROR","CREATION_DATE","CREATED_BY","LAST_UPDATE_DATE","LAST_UPDATED_BY","LAST_UPDATE_LOGIN","ESTATUSAP"
968920,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","TEH","280921TEHTDDF",28/09/21,"280921TEHTDD","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968922,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","TPO","280921TPOTDCF",28/09/21,"280921TPOTDC","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968924,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","TPO","280921TPOEFEF",28/09/21,"280921TPOEFE","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968926,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","TPO","280921TPOTDDF",28/09/21,"280921TPOTDD","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968895,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","CEDIS","280921CEDISTDDF",28/09/21,"280921CEDISTDD","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968889,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","CDS","280921CDSEFEF",28/09/21,"280921CDSEFE","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968887,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","CDN","280921CDNTDDF",28/09/21,"280921CDNTDD","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968885,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","CDN","280921CDNEFEF",28/09/21,"280921CDNEFE","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968883,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","APO","280921APOEFEF",28/09/21,"280921APOEFE","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968881,"PAQUER","FACTURA","PROPIO","PAQUER","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","PAQUER","AMP521016875","","","","XAXX010101000","APO","280921APOTDDF",28/09/21,"280921APOTDD","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968982,"TOPDRIVER","FACTURA","PROPIO","TOPDRIVER","CONTACTOS TERRESTRES SA DE CV","TOPDRIVER","CTE060224DA3","","PUBLICO EN GENERAL","","XAXX010101000","CAPU","TDFD-101158",28/09/21,"10045594","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,1,""
968986,"TOPDRIVER","FACTURA","PROPIO","TOPDRIVER","CONTACTOS TERRESTRES SA DE CV","TOPDRIVER","CTE060224DA3","","PUBLICO EN GENERAL","","XAXX010101000","CAPU","TDFD-101157",28/09/21,"10045836","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,1,""
968989,"TOPDRIVER","FACTURA","PROPIO","TOPDRIVER","CONTACTOS TERRESTRES SA DE CV","TOPDRIVER","CTE060224DA3","","BARAMHF S. DE R.L. DE C.V.","","BAR191004T96","CAPU","TDFD-101156",28/09/21,"10045878","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,1,""
968988,"TOPDRIVER","FACTURA","PROPIO","TOPDRIVER","CONTACTOS TERRESTRES SA DE CV","TOPDRIVER","CTE060224DA3","","BARAMHF S. DE R.L. DE C.V.","","BAR191004T96","CAPU","TDFD-101155",28/09/21,"10045877","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,1,""
968984,"TOPDRIVER","FACTURA","PROPIO","TOPDRIVER","CONTACTOS TERRESTRES SA DE CV","TOPDRIVER","CTE060224DA3","","PUBLICO EN GENERAL","","XAXX010101000","CAPU","TDFD-101154",28/09/21,"10045876","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,1,""
968983,"TOPDRIVER","FACTURA","PROPIO","TOPDRIVER","CONTACTOS TERRESTRES SA DE CV","TOPDRIVER","CTE060224DA3","","PUBLICO EN GENERAL","","XAXX010101000","CAPU","TDFD-101153",28/09/21,"10045845","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,1,""
968987,"TOPDRIVER","FACTURA","PROPIO","TOPDRIVER","CONTACTOS TERRESTRES SA DE CV","TOPDRIVER","CTE060224DA3","","PUBLICO EN GENERAL","","XAXX010101000","CAPU","TDFD-101152",28/09/21,"10045844","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,1,""
968985,"TOPDRIVER","FACTURA","PROPIO","TOPDRIVER","CONTACTOS TERRESTRES SA DE CV","TOPDRIVER","CTE060224DA3","","PUBLICO EN GENERAL","","XAXX010101000","CAPU","TDFD-101151",28/09/21,"10045889","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,1,""
968945,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","AERO","2892119ERP4MSERTF",28/09/21,"473725","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968946,"TMS","FACTURA","PROPIO","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","XAXX010101000","WEB","28921115TPP4MSGTPTF",28/09/21,"473726","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968830,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","SUR","2892125ERP01PERTF",28/09/21,"473670","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968831,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","PSNDIEGO","28921156ERP16PERTF",28/09/21,"473671","","4232","","","","","","","","","E","",30/09/21,,30/09/21,,,""
968832,"TMS","FACTURA","TERCEROS","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","CAPU","2892115ERT04GTTP1TF",28/09/21,"473672","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968833,"PORTAL*","FACTURA","INTERCOS","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla 1","TTP050504P51","","","","AMP521016875","CAPU","2892115ERT04GTTP1*",28/09/21,"968833","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968834,"TMS","FACTURA","PROPIO","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","XAXX010101000","MIYANA","28921294TPP01GTTP1TF",28/09/21,"473673","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968835,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","PSNDIEGO","28921156ERP01SERTF",28/09/21,"473674","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968836,"TMS","FACTURA","TERCEROS","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","HUEJO","2892123ERT04ITPTF",28/09/21,"473675","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968837,"PORTAL*","FACTURA","INTERCOS","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","AMP521016875","HUEJO","2892123ERT04ITP*",28/09/21,"968837","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968838,"TMS","FACTURA","PROPIO","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","XAXX010101000","HUEJO","2892123TPP01ITPTF",28/09/21,"473676","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968839,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","SUR","2892125ERP04PERTF",28/09/21,"473677","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968840,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","CAR","2892120ERP01PERTF",28/09/21,"473678","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968841,"TMS","FACTURA","PROPIO","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","XAXX010101000","WEB","28921115TPP04GTTP1TF",28/09/21,"473679","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968842,"TMS","FACTURA","PROPIO","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","XAXX010101000","PSNDIEGO","28921156TPP01GTTP1TF",28/09/21,"473680","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968843,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","TAPO","2892118ERP44SERTF",28/09/21,"473681","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968844,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","PSNDIEGO","28921156ERP04SERTF",28/09/21,"473682","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968845,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","HUEJO","2892123ERP04SERTF",28/09/21,"473683","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968846,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","CAPU","2892115ERP16SERTF",28/09/21,"473684","","4232","","","","","","","","","E","",30/09/21,,30/09/21,,,""
968847,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","PASDEST","28921277ERP01AERTF",28/09/21,"473685","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968848,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","WEB","28921115ERP16AERTF",28/09/21,"473686","","4232","","","","","","","","","E","",30/09/21,,30/09/21,,,""
968849,"TMS","FACTURA","TERCEROS","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","TAPO","2892118ERT04ITPTF",28/09/21,"473687","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968850,"PORTAL*","FACTURA","INTERCOS","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","AMP521016875","TAPO","2892118ERT04ITP*",28/09/21,"968850","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968851,"TMS","FACTURA","TERCEROS","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","PSNDIEGO","28921156ERT04ITPTF",28/09/21,"473688","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968852,"PORTAL*","FACTURA","INTERCOS","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","AMP521016875","PSNDIEGO","28921156ERT04ITP*",28/09/21,"968852","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968853,"TMS","FACTURA","TERCEROS","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","SMA","2892117ERT04ITPTF",28/09/21,"473689","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968854,"PORTAL*","FACTURA","INTERCOS","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","AMP521016875","SMA","2892117ERT04ITP*",28/09/21,"968854","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968855,"TMS","FACTURA","TERCEROS","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","CAPU","2892115ERT04ITPTF",28/09/21,"473690","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968856,"PORTAL*","FACTURA","INTERCOS","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","AMP521016875","CAPU","2892115ERT04ITP*",28/09/21,"968856","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968857,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","CAPU","2892115ERP16PERTF",28/09/21,"473691","","4232","","","","","","","","","E","",30/09/21,,30/09/21,,,""
968858,"TMS","FACTURA","PROPIO","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","XAXX010101000","SMA","2892117TPP01BTPTF",28/09/21,"473692","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968859,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","CAPU","2892115ERP04SERTF",28/09/21,"473693","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968860,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","CAPSETEX","28921113ERP04SERTF",28/09/21,"473694","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968861,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","CAPU","2892115ERP01AERTF",28/09/21,"473695","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968862,"TMS","FACTURA","PROPIO","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","XAXX010101000","CAPSETEX","28921113TPP01ITPTF",28/09/21,"473696","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968863,"TMS","FACTURA","PROPIO","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","XAXX010101000","CHOL","2892121TPP01ITPTF",28/09/21,"473697","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968864,"TMS","FACTURA","PROPIO","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","XAXX010101000","PSNDIEGO","28921156TPP01ITPTF",28/09/21,"473698","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968865,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","PASDEST","28921277ERP04PERTF",28/09/21,"473699","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968866,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","CAPU","2892115ERP01PERTF",28/09/21,"473700","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968867,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","PASDEST","28921277ERP01PERTF",28/09/21,"473701","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968868,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","TAPO","2892118ERP16PERTF",28/09/21,"473702","","4232","","","","","","","","","E","",30/09/21,,30/09/21,,,""
968869,"TMS","FACTURA","TERCEROS","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","WTC","2892191ERT04GTTP1TF",28/09/21,"473703","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968870,"PORTAL*","FACTURA","INTERCOS","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla 1","TTP050504P51","","","","AMP521016875","WTC","2892191ERT04GTTP1*",28/09/21,"968870","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968871,"TMS","FACTURA","TERCEROS","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","MIYANA","28921294ERT04GTTP1TF",28/09/21,"473704","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968872,"PORTAL*","FACTURA","INTERCOS","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla 1","TTP050504P51","","","","AMP521016875","MIYANA","28921294ERT04GTTP1*",28/09/21,"968872","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968873,"TMS","FACTURA","TERCEROS","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","CAPU","2892115ERT44GTTP1TF",28/09/21,"473705","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968874,"PORTAL*","FACTURA","INTERCOS","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla 1","TTP050504P51","","","","AMP521016875","CAPU","2892115ERT44GTTP1*",28/09/21,"968874","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968875,"TMS","FACTURA","PROPIO","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","XAXX010101000","STAFE","28921103TPP01GTTP1TF",28/09/21,"473706","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968876,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","PSNDIEGO","28921156ERP1MSERTF",28/09/21,"473707","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968877,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","TAPO","2892118ERP1MSERTF",28/09/21,"473708","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968878,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","CAR","2892120ERP1MSERTF",28/09/21,"473709","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968879,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","PCHALCO","28921292ERP1MSERTF",28/09/21,"473710","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968880,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","HUEJO","2892123ERP1MSERTF",28/09/21,"473711","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968911,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","AERO","2892119ERP1MSERTF",28/09/21,"473712","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968933,"TMS","FACTURA","PROPIO","TMS","TERMINAL LAS TORRES PUEBLA S.A. DE C.V.","Terminal Las Torres Puebla","TTP050504P51","","","","XAXX010101000","PASDEST","28921277TPP1MSTTP1TF",28/09/21,"473713","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
968934,"TMS","FACTURA","PROPIO","TMS","AUTOBUSES MEXICO PUEBLA ESTRELLA ROJA SA DE CV","Estrella Roja","AMP521016875","","","","XAXX010101000","TAPO","2892118ERP4MSERTF",28/09/21,"473714","","4232","","","","","","","","","S","",30/09/21,,30/09/21,,,""
