ID_INTERFAZ,CD_UNIDAD_OPERATIVA,UNIDAD_OPERATIVA,SISTEMA_ORIGEN,TIPO_DOCUMENTO,TIPO_MOVIMIENTO,COORDINADO,IMPUESTO,ORIGEN_TRANSACCION,TIPO_TRANSACCION_AR,METODO_RECIBO,UNIDAD_NEGOCIO_ORIGEN,NOMBRE_FISCAL_ORIGEN,EMPRESA_ORIGEN,RFC_ORIGEN,UNIDAD_NEGOCIO_DESTINO,NOMBRE_FISCAL_DESTINO,EMPRESA_DESTINO,RFC_DESTINO,SUCURSAL_VENTA,ORIGEN_SERVICIO,DESTINO_SERVICIO,SERVICIO,CONCEPTO_MODALIDAD,FORMA_PAGO,SUMARIZADO,APLICA_AR,APLICA_AP,CUENTA_INGRESOS,CUENTA_COBRAR,CUENTA_IMPUESTO,CUENTA_RETENCION,CUENTA_AP,ADICIONAL1,ADICIONAL2,ADICIONAL3,ADICIONAL4,ADICIONAL5,ADICIONAL6,ADICIONAL7,ADICIONAL8,ADICIONAL9,ADICIONAL10,CREATION_DATE,CREATED_BY,LAST_UPDATE_DATE,LAST_UPDATED_BY,LAST_UPDATE_LOGIN,CUENTA_INGRESOS_DESC,CUENTA_COBRAR_DESC,CUENTA_IMPUESTO_DESC,CUENTA_RETENCION_DESC,CUENTA_AP_DESC,MEMO_LINE,RECEIPT_METHOD_ID,ORGANIZATION_ID,UNIDAD_OPERATIVA_DESTINO,AP_TERCEROS,CONCILIACION,PREFIJO_CONC,MASCARA_CONC,SUBFIJO_CONC,FRECUENCIA_CONC,TOLERANCIA_CONC
4407,,TTP_BU,TMS,FACTURA,PROPIO,,,,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,XAXX010101000,WEB,,,VENTAS MISCELANEAS,PDG INTERMEDIO,BBV,,SI,NO,,,,,,,,,,,,,,,,,1,,1,1,,,,,,TMS-VENTA MISC-PDG INTERMEDIO TTP--BBV-AR_IVA16,,3E+14,,,,,,,,
4408,,TTP_BU,TMS,FACTURA,PROPIO,,,,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,XAXX010101000,WEB,,,VENTAS MISCELANEAS,PDG INTERMEDIO PISTA,BBV,,SI,NO,,,,,,,,,,,,,,,,,1,,1,1,,,,,,TMS-VENTA MISC-PDG INTERMEDIO PISTA--BBV-AR_IVA16,,3E+14,,,,,,,,
4409,,TTP_BU,TMS,FACTURA,PROPIO,,,,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,XAXX010101000,WEB,,,VENTAS MISCELANEAS,PDG DIRECTO TTP,BBV,,SI,NO,,,,,,,,,,,,,,,,,1,,1,1,,,,,,TMS-VENTA MISCELANEA-PDG DIRECTO TTP--BBV-AR_IVA16,,3E+14,,,,,,,,
3344,,TTP_BU,PORTAL*,FACTURA,INTERCOS,,TAS-IVAEXE,FACTURAS TTP,TRANSACCION INTER TT,,,,,TTP050504P51,,,,AMP521016875,4PTE,,,VENTAS MISCELANEAS,CARGO POR CAMBIO DE HORARIO,BBV,,SI,SI,11-00-00-1101-000-00-0000-6600110-0000-00000,11-00-01-1199-000-00-0000-1111007-0000-00000,,,02-04-0000-00-2214,,,,,,,,,,,,1,,1,1,,,,,,TMS-VENTAS MISCELANEAS-CARGO POR CAMBIO DE HORARIO,,3E+14,,,,,,,,
3345,,TTP_BU,PORTAL*,FACTURA,INTERCOS,,TAS-IVAEXE,FACTURAS TTP,TRANSACCION INTER TT,,,,,TTP050504P51,,,,AMP521016875,PANTARA,,,VENTAS MISCELANEAS,CARGO POR CAMBIO DE HORARIO,BBV,,SI,SI,11-00-00-1101-000-00-0000-6600110-0000-00000,11-00-01-1199-000-00-0000-1111007-0000-00000,,,02-04-0000-00-2214,,,,,,,,,,,,1,,1,1,,,,,,TMS-VENTAS MISCELANEAS-CARGO POR CAMBIO DE HORARIO,,3E+14,,,,,,,,
3346,,TTP_BU,PORTAL*,FACTURA,INTERCOS,,TAS-IVAEXE,FACTURAS TTP,TRANSACCION INTER TT,,,,,TTP050504P51,,,,AMP521016875,4PTE,,,VENTAS MISCELANEAS,DIFERENCIA POR HO,BBV,,SI,SI,11-00-00-1101-000-00-0000-6600110-0000-00000,11-00-01-1199-000-00-0000-1111007-0000-00000,,,02-04-0000-00-2214,,,,,,,,,,,,1,,1,1,,,,,,TMS-VENTAS MISCELANEAS-CARGO POR CAMBIO DE HORARIO,,3E+14,,,,,,,,
3347,,TTP_BU,TMS,FACTURA,PROPIO,,TAS-IVAEXE,FACTURAS TTP,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,XAXX010101000,4PTE,,,VENTAS MISCELANEAS,CARGO POR CAMBIO DE HORARIO,EFE,,SI,NO,11-00-00-1101-000-00-0000-6600110-0000-00000,11-00-00-1102-000-00-0000-1100102-0000-0,,,,,,,,,,,,,,,,,,,,,,,,TMS-VENTAS MIS-CARGO POR CAMBIO DE HORARIO-IVA-16,,3E+14,,,,,,,,
3348,,TTP_BU,TMS,FACTURA,PROPIO,,TAS-IVAEXE,FACTURAS TTP,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,XAXX010101000,4PTE,,,VENTAS MISCELANEAS,DIFERENCIA POR HO,EFE,,SI,NO,11-00-00-1101-000-00-0000-6600110-0000-00000,11-00-00-1102-000-00-0000-1100102-0000-0,,,,,,,,,,,,,,,,,,,,,,,,TMS-VENTAS MIS-CARGO POR CAMBIO DE HORARIO-IVA-16,,3E+14,,,,,,,,
3349,,TTP_BU,TMS,FACTURA,PROPIO,,TAS-IVAEXE,FACTURAS TTP,TRANSACCION TTP TMS,SANTANDER_8285,,,,TTP050504P51,,,,XAXX010101000,CAPU,,,VENTAS MISCELANEAS,DIFERENCIA POR HO,EFE,,SI,NO,11-00-00-1101-000-00-0000-6600110-0000-00000,11-00-00-1101-000-00-0000-1100102-0000-0,,,,,,,,,,,,,,,,,4.04181E+16,,,,,,,TMS-VENTAS MISC-DIFERENCIA POR HO-TTP-EFE-AR_16,,3E+14,,,SI,,DDMMRRRR,CAPUT,D,
3350,,TTP_BU,TMS,FACTURA,PROPIO,,TAS-IVAEXE,FACTURAS TTP,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,XAXX010101000,CHOL,,,INTERMEDIO PISTA,,EFE,,SI,NO,11-00-00-1199-000-00-0000-2204101-0000-00000,11-00-00-1109-000-00-0000-1100102-0000-0,,,,,,,,,,,,,,,,,,,,,,,,TMS-INTERMEDIO PISTA TTP---EFE-AR_IVA_16,,3E+14,,,,,,,,
3351,,TTP_BU,TMS,FACTURA,PROPIO,,TAS-IVAEXE,FACTURAS TTP,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,XAXX010101000,HUEJO,,,INTERMEDIO PISTA,,EFE,,SI,NO,11-00-00-1199-000-00-0000-2204101-0000-00000,11-00-00-1110-000-00-0000-1100102-0000-0,,,,,,,,,,,,,,,,,,,,,,,,TMS-INTERMEDIO PISTA TTP---EFE-AR_IVA_16,,3E+14,,,,,,,,
3352,,TTP_BU,TMS,FACTURA,PROPIO,,,FACTURAS TTP,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,XAXX010101000,PANTARA,,,VENTAS MISCELANEAS,CARGO POR CAMBIO DE HORARIO,EFE,,SI,,11-00-00-1101-000-00-0000-6600110-0000-00000,11-00-00-1207-000-00-0000-1100102-0000-0,,,,,,,,,,,,,,,,,,,,,,,,TMS-VENTAS MISCELANEAS-CARGO POR CAMBIO DE HORARIO,,3E+14,,,,,,,,
3353,,TTP_BU,TMS,FACTURA,PROPIO,,TAS-IVAEXE,FACTURAS TTP,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,XAXX010101000,SMAB,,,INTERMEDIO PISTA TTP,,EFE,,SI,NO,11-00-00-1199-000-00-0000-2204101-0000-00000,11-00-00-1103-000-00-0000-1100102-0000-0,,,,,,,,,,,,,,,,,,,,,,,,TMS-INTERMEDIO PISTA TTP---EFE-AR_IVA_16,,3E+14,,,,,,,,
3354,,TTP_BU,TMS,FACTURA,PROPIO,,,FACTURAS TTP,TRANSACCION TTP TMS,SANTANDER_8285,,,,TTP050504P51,,,,XAXX010101000,STAFE,,,VENTAS MISCELANEAS,CARGO POR CAMBIO DE HORARIO,EFE,,SI,NO,11-00-00-1101-000-00-0000-6600110-0000-00000,11-00-00-1208-000-00-0000-1100102-0000-0,,,,,,,,,,,,,,,,,4.04181E+16,,,,,,,TMS-VENTAS MISCELANEAS-CARGO POR CAMBIO DE HORARIO,,3E+14,,,SI,,DDMMRRRR,STAF,S,
3355,,TTP_BU,TMS,FACTURA,PROPIO,,TAS-IVAEXE,FACTURAS TTP,TRANSACCION TTP TMS,SANTANDER_8285,,,,TTP050504P51,,,,XAXX010101000,TAPO,,,VENTAS MISCELANEAS,DIFERENCIA POR HO,EFE,,SI,NO,11-00-00-1101-000-00-0000-6600110-0000-00000,11-00-00-1201-000-00-0000-1100102-0000-0,,,,,,,,,,,,,,,,,4.04181E+16,,,,,,,TMS-VENTAS MISC-DIFERENCIA POR HO-TTP-EFE-AR_16,,3E+14,,,SI,,DDMMRRRR,TAPOT,D,
3356,,TTP_BU,TMS,FACTURA,PROPIO,,TAS-IVAAR16%,FACTURAS TTP,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,XAXX010101000,WEB,,,EBUS TTP1,,BBV,,SI,,11-00-00-1199-000-00-0000-2204101-0000-00000,11-00-00-1101-000-00-0000-1100102-0000-00000,,,,,,,,,,,,,,,,,,,,,,,,TMS-EBUS TTP1---EFE-AR_IVA16,,3E+14,,,,,,,,
1729,,TTP_BU,TMS,FACTURA,PROPIO,,TAS-IVAAR16%,FACTURAS TTP,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,,HUEJO,,,DIRECTO ECONOMICO,,VJS,,SI,,11-00-01-1199-000-00-0000-2201006-0000-00000,11-00-00-1110-000-00-0000-1100102-0000-00000,,,,,,,,,,,,,,,-1,,-1,,TTP-NA-AMPERSA-Administración-NA-NA-NA-Venta a terceros-NA-NA,TTP-NA-NA-Huejotzingo-NA-NA-NA-Cofre-NA-NA,,,,TMS-DIRECTO ECONOMICO---VJS-AR_IVA16,,3E+14,,,,,,,,
2676,103,TTP_BU,TMS,FACTURA,PROPIO,,TAS-IVAAR16%,FACTURAS TTP,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,XAXX010101111,4PTE,,,INTERMEDIO TTP,,EFE,,SI,,11-00-00-1199-000-00-0000-2204101-0000-00000,11-00-00-1102-000-00-0000-1100102-0000-00000,,,,,,,,,,,,,,,-1,,-1,,TTP-NA-NA-Administración-NA-NA-NA-Boletos pendientes de via-NA-NA,TTP-NA-NA-4 Poniente-NA-NA-NA-Cofre-NA-NA,,,,TMS-INTERMEDIO TTP---EFE-AR_IVA16,,3E+14,,,,,,,,
3566,,AMPERSA_BU,TMS,FACTURA,TERCEROS,,,,TRANSACCIONES ER TMS,,,,,AMP521016875,,,,,4PTE,,,VENTAS MISCELANEAS,JUCONI,BBV,,SI,NO,,,,,,,,,,,,,,,,,1,,1,1,,,,,,TMS-VENTAS MISCELANEAS-JUCONI--EFE,,3E+14,,,,,,,,
4086,,TTP_BU,TMS,FACTURA,PROPIO,,,,TRANSACCION TTP TMS,HSBC 0764,,,,TTP050504P51,,,,,PCHALCO,,,VENTAS MISCELANEAS,DIFERENCIA POR HO,EFE,,SI,NO,,,,,,,,,,,,,,,,,1,,4.04181E+16,1,,,,,,TMS-VENTAS MISC-DIFERENCIA POR HO-TTP-EFE-AR_16,,3E+14,,,SI,,DDMMRRRR,CHALCOT,D,
2681,102,CONTERSA_BU,TMS,FACTURA,PROPIO,,TAS-IVAEXE,FACTURAS CONTERSA,TRANSACCIONES CT TMS,,,,,CTE060224DA3,,,,XAXX010101000,PCENSUR,,,PULLMAN PRIMERA CLASE CT,,EFE,,SI,,05-00-00-1199-000-00-0000-2204101-0000-00000,05-00-00-1108-000-00-0000-1100102-0000-00000,,,,,,,,,,,,,,,-1,,-1,,CONTACTOS-NA-NA-Administración-NA-NA-NA-Boletos pendientes de via-NA-NA,CONTACTOS-NA-NA-Centro Sur-NA-NA-NA-Cofre-NA-NA,,,,TMS-PULLMAN PRIMERA CLASE CT---EFE-AR_IVA_EXENTO,,3E+14,,,,,,,,
2724,102,CONTERSA_BU,TMS,FACTURA,PROPIO,,TAS-IVAEXE,FACTURAS CONTERSA,TRANSACCIONES CT TMS,,,,,CTE060224DA3,,,,XAXX010101000,CAPU,,,PULLMAN PRIMERA CLASE,CT1,EFE,,,,05-00-00-1199-000-00-0000-2204101-0000-00000,05-00-00-1101-000-00-0000-1100102-0000-00000,,,,,,,,,,,,,,,-1,,-1,,CONTACTOS-NA-NA-Administración-NA-NA-NA-Boletos pendientes de via-NA-NA,CONTACTOS-NA-NA-CAPU-NA-NA-NA-Cofre-NA-NA,,,,TMS-PULLMAN PRIMERA CLASE-CT1--EFE-,,3E+14,,,,,,,,
303,,CONTERSA_BU,TOPDRIVER,FACTURA,PROPIO,NO,,FACTURAS CONTERSA,TRANSACCIONES CT TMS,,,,,CTE060224DA3,,,,,4PTE,,,SERVICIO DE TAXIS,,EFE,,SI,,,,,,,,,,,,,,,,,,1,,-1,,,,,,,TOPDRIVER-RENTA DE UNIDADES---CRE-AR_IVA_EXENTO,,3E+14,,,,,,,,
3374,,TTP_BU,TMS,FACTURA,PROPIO,,TAS-IVAEXE,FACTURAS TTP,TRANSACCION TTP TMS,SANTANDER_8285,,,,TTP050504P51,,,,,CAR,,,VENTAS MISCELANEAS,EXCESO DE EQUIPAJE TTP,EFE,,SI,NO,11-00-00-1199-000-00-0000-6600102-0000-0,11-00-00-1206-000-00-0000-1100102-0000-0,,,,,,,,,,,,,,,1,,4.04181E+16,1,,,,,,TMS-VENTAS MISCELANEAS-EXCESO EQIPAJE--EFE-,,3E+14,,,SI,,DDMMRRRR,CART,D,
3388,,TTP_BU,TMS,FACTURA,PROPIO,,TAS-IVAEXE,FACTURAS TTP,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,XAXX010101000,PSNDIEGO,,,INTERMEDIO PISTA TTP,,EFE,,SI,NO,11-00-00-1199-000-00-0000-2204101-0000-00000,11-00-00-1112-000-00-0000-1100102-0000-00000,,,,,,,,,,,,,,,,,,,,,,,,TMS-INTERMEDIO PISTA TTP---EFE-AR_IVA_16,,3E+14,,,,,,,,
2736,102,CONTERSA_BU,PORTAL*,FACTURA,INTERCOS,,TAS-IVAEXE,FACTURAS CONTERSA,TRANSACCIONES CT TMS,,,,,CTE060224DA3,,,,AMP521016875,CAPU,,,SERVICIO DE TURISMO,TERCEROS-ER,VJS,,SI,SI,05-00-00-1199-000-00-0000-2204101-0000-00000,05-00-01-1199-000-00-0000-1111007-0000-00000,,,02-03-0000-00-2214,,,,,,,,,,,,-1,,-1,,CONTACTOS-NA-NA-Administración-NA-NA-NA-Boletos pendientes de via-NA-NA,CONTACTOS-NA-AMPERSA-Administración-NA-NA-NA-Traspasos  de Filiales-NA-NA,,,AMPERSA-NA-CONTACTOS-Administración-NA-NA-NA-Venta a terceros-NA-NA,PORTAL*-SERVICIO DE TURISMO CT-TERCEROS-ER--BBV-AR,,3E+14,,,,,,,,
3506,,TTP_BU,TMS,FACTURA,PROPIO,,,,TRANSACCION TTP TMS,HSBC 0764,,,,TTP050504P51,,,,XAXX010101000,PASDEST,,,VENTAS MISCELANEAS,TICKET EXTRAVIADO ESTACIONAM,EFE,,SI,NO,,,,,,,,,,,,,,,,,1,,4.04181E+16,1,,,,,,TMS-VENTAS MISC-DIFERENCIA POR HO-TTP-EFE-AR_16,,3E+14,,,SI,,DDMMRRRR,PDESTT,D,
3646,,AMPERSA_BU,TMS,FACTURA,PROPIO,,,,TRANSACCIONES ER TMS,,,,,AMP521016875,,,,,WEB,,,VENTAS MISCELANEAS,Bono bus DIRECTO,BBV,,SI,NO,,,,,,,,,,,,,,,,,1,,1,1,,,,,,TMS-BONOBUS-DIRECTO ECONOMICO ER-AR_IVA16,,3E+14,,,,,,,,
3647,,AMPERSA_BU,TMS,FACTURA,PROPIO,,,,TRANSACCIONES ER TMS,,,,,AMP521016875,,,,,WEB,,,VENTAS MISCELANEAS,Bono bus PULLMAN,BBV,,SI,NO,,,,,,,,,,,,,,,,,1,,1,1,,,,,,TMS-BONOBUS-PULLMAN PRIMERA CLASE ER-AR_IVA16,,3E+14,,,,,,,,
3648,,AMPERSA_BU,TMS,FACTURA,PROPIO,,,,TRANSACCIONES ER TMS,,,,,AMP521016875,,,,,WEB,,,VENTAS MISCELANEAS,Bono bus AEROPUERTO,BBV,,SI,NO,,,,,,,,,,,,,,,,,1,,1,1,,,,,,TMS-BONOBUS-AEROPUERTO ER-AR_IVA16,,3E+14,,,,,,,,
3649,,TTP_BU,TMS,FACTURA,PROPIO,,,,TRANSACCION TTP TMS,,,,,TTP050504P51,,,,,WEB,,,VENTAS MISCELANEAS,Bono bus EBUS,BBV,,SI,NO,,,,,,,,,,,,,,,,,1,,1,1,,,,,,TMS-BONOBUS EBUS---WEB-AR_IVA16,,3E+14,,,,,,,,
546,,TTP_BU,PORTAL,FACTURA,INTERCOS,SI,AP_IVA16,FACTURAS TTP,FACTURA TTP,,,,,TTP050504P51,,,,AMP521016875,,,,COMISION POR VENTA DE SAN MARTIN,,NO APLICA,,SI,SI,11-02-01-1199-000-00-5101-6600301-0000-00000,11-00-01-1199-000-00-0000-1110301-0000-00000,,,01-02-11-1103-000-00-5101-5500510-0000-00000,,,,,,,,,,,,1,,-1,,TTP-Directos-AMPERSA-Administración-NA-NA-Comercial-Ing. Por comisiones por V-NA-NA,TTP-NA-AMPERSA-Administración-NA-NA-NA-Clientes Interco-NA-NA,,,,,,3E+14,,,,,,,,
4990,,AMPERSA_BU,TMS,FACTURA,PROPIO,,,,TRANSACCIONES ER TMS,,,,,AMP521016875,,,,XAXX010101000,CAPSETEX,,,VENTAS MISCELANEAS,DIFERENCIA POR CA,EFE,,SI,NO,,,,,,,,,,,,,,,,,4.04181E+16,,,,,,,,,TMS-VENTAS MISCELANEAS-DIFERENCIA POR CA--EFE-AR_I,,3E+14,,,SI,,DDMMRRRR,CAPSETEXT,D,10
547,,TTP_BU,PORTAL,FACTURA,INTERCOS,SI,AP_IVA16,FACTURAS TTP,FACTURA TTP,,,,,TTP050504P51,,,,AMP521016875,,,,COMISION POR VENTA DE BOLETOS CHOLULA,,NO APLICA,,SI,SI,11-02-01-1199-000-00-5101-6600301-0000-00000,11-00-01-1199-000-00-0000-1110301-0000-00000,,,01-02-11-1109-000-00-5101-5500510-0000-00000,,,,,,,,,,,,1,,-1,,TTP-Directos-AMPERSA-Administración-NA-NA-Comercial-Ing. Por comisiones por V-NA-NA,TTP-NA-AMPERSA-Administración-NA-NA-NA-Clientes Interco-NA-NA,,,,,,3E+14,,,,,,,,
548,,TTP_BU,PORTAL,FACTURA,INTERCOS,SI,AP_IVA16,FACTURAS TTP,FACTURA TTP,,,,,TTP050504P51,,,,AMP521016875,,,,COMISION POR VENTA DE BOLETOS HUEJO,,NO APLICA,,SI,SI,11-02-01-1199-000-00-5101-6600301-0000-00000,11-00-01-1199-000-00-0000-1110301-0000-00000,,,01-02-11-1110-000-00-5101-5500510-0000-00000,,,,,,,,,,,,1,,-1,,TTP-Directos-AMPERSA-Administración-NA-NA-Comercial-Ing. Por comisiones por V-NA-NA,TTP-NA-AMPERSA-Administración-NA-NA-NA-Clientes Interco-NA-NA,,,,,,3E+14,,,,,,,,
549,,TTP_BU,PORTAL,FACTURA,INTERCOS,SI,AP_IVA16,FACTURAS TTP,FACTURA TTP,,,,,TTP050504P51,,,,AMP521016875,,,,COMISION POR VENTA DE BOLETOS TIANGUIS,,NO APLICA,,SI,SI,11-02-01-1199-000-00-5101-6600301-0000-00000,11-00-01-1199-000-00-0000-1110301-0000-00000,,,01-02-11-1103-000-00-5101-5500510-0000-00000,,,,,,,,,,,,1,,-1,,TTP-Directos-AMPERSA-Administración-NA-NA-Comercial-Ing. Por comisiones por V-NA-NA,TTP-NA-AMPERSA-Administración-NA-NA-NA-Clientes Interco-NA-NA,,,,,,3E+14,,,,,,,,
1985,145,EXPRESSO_BU,PORTAL,FACTURA,TERCEROS,,TAS-IVAAR16%,FACTURAS EXPRESSO,FACTURA ENE,,,,,ENE0410255W7,,,,,,,,ARRENDAMIENTO DE UNIDADES,,TODOS,,SI,,14-45-00-1101-000-00-0000-4400105-0000-00000,14-00-00-1199-000-00-0000-1110102-0000-00000,,,,,,,,,,,,,,,-1,,-1,,EXPRESSO-Arrendadora-NA-CAPU-NA-NA-NA-Arrendamiento-NA-NA,EXPRESSO-NA-NA-Administración-NA-NA-NA-Clientes Crédito-NA-NA,,,,,,3E+14,,,,,,,,
487,,CONTERSA_BU,PORTAL,FACTURA,INTERCOS,SI,AP_IVA16,FACTURAS CONTERSA,FACTURA CTE,,,,,CTE060224DA3,,,,AMP521016875,,,,TELCEL 1101-4201-5500209,,,,SI,SI,05-02-01-1199-000-00-4201-6600408-0000-00000,05-00-01-1199-000-00-0000-1110301-0000-00000,,,01-02-00-1101-000-00-4201-5500209-0000-00000,,,,,,,,,,,,1,,-1,,CONTACTOS-NA-AMPERSA-Administración-NA-NA-Gerencia de Operaciones-Teléfono-NA-NA,CONTACTOS-NA-AMPERSA-Administración-NA-NA-NA-Clientes Interco-NA-NA,,,AMPERSA-Directos-NA-CAPU-NA-NA-Gerencia de Operaciones-Radios y Telefonía Celula-NA-NA,,,3E+14,,,,,,,,
